"Name","Date","Tournament","Division","TotalDivs","Placement","Players","Wins","Margin","GamesFirst","GamesLast","Rating","Norm","NormProgress"
"Tony Sim",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,3,16,11,349,1506,1521,1921,"",""
"Cheah Siu Hean",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,2,16,13,800,1396,1411,1989,"",""
"Andy Kurnia",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,8,16,9,-203,1129,1144,1811,"",""
"Toh Weibin",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,10,16,8,202,379,394,1882,"",""
"Marlon Prudencio",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,12,16,7,46,468,483,1845,"",""
"Shim Yen Nee",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,9,16,9,-408,1023,1038,1851,"",""
"Victor Chua",2010-11-14,"13th Singapore Open Scrabble Championship",1,4,6,16,9,52,684,699,1821,"",""
"Tony Sim",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,4,26,11,97,1522,1538,1941,"",""
"Cheah Siu Hean",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,5,26,10,554,1412,1428,1943,"",""
"Ricky Purnomo",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,3,26,11,483,1021,1037,1936,"",""
"Hubert Wee Ming Hui",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,6,26,10,537,800,816,1960,"",""
"Marlon Prudencio",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,9,26,9,980,484,500,1840,"",""
"Liew Kian Boon",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,2,26,12,672,383,399,1973,"",""
"Shim Yen Nee",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,16,26,8,-142,1039,1055,1806,"",""
"Victor Chua",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,10,26,9,451,700,716,1832,"",""
"Yong Jian Rong",2010-11-21,"Yew Tee Scrabble Open Championship 2010",1,2,23,26,6,-398,67,82,1510,"",""
"Tony Sim",2010-12-12,"Jurong Green CC mini tournament",1,3,2,6,5,86,1539,1546,1938,"",""
"Marcus David Goh",2010-12-12,"Jurong Green CC mini tournament",1,3,1,6,6,245,486,493,1954,"",""
"Shim Yen Nee",2010-12-12,"Jurong Green CC mini tournament",1,3,6,6,2,-555,1056,1063,1784,"",""
"Yong Jian Rong",2010-12-12,"Jurong Green CC mini tournament",2,3,5,6,3,-240,83,90,1505,"",""
"Tony Sim",2011-01-23,"12th SA Millennium Cup",1,3,4,12,12,299,1547,1566,1936,"",""
"Cheah Siu Hean",2011-01-23,"12th SA Millennium Cup",1,3,6,12,11,294,1429,1448,1934,"",""
"Ricky Purnomo",2011-01-23,"12th SA Millennium Cup",1,3,7,12,10,166,1038,1057,1915,"",""
"Andy Kurnia",2011-01-23,"12th SA Millennium Cup",1,3,11,12,6,-1224,1145,1163,1788,"",""
"Hubert Wee Ming Hui",2011-01-23,"12th SA Millennium Cup",1,3,3,12,13,733,817,836,1970,"",""
"Toh Weibin",2011-01-23,"12th SA Millennium Cup",1,3,2,12,13,782,395,414,1934,"",""
"Marlon Prudencio",2011-01-23,"12th SA Millennium Cup",1,3,5,12,12,-556,501,520,1895,"",""
"Liew Kian Boon",2011-01-23,"12th SA Millennium Cup",1,3,8,12,9,105,400,419,1909,"",""
"Yeo Kian Hung Henry",2011-01-23,"12th SA Millennium Cup",1,3,10,12,7,-354,409,428,1825,"",""
"Shim Yen Nee",2011-01-23,"12th SA Millennium Cup",2,3,1,10,14,1430,1064,1081,1851,"",""
"Victor Chua",2011-01-23,"12th SA Millennium Cup",1,3,1,12,14,837,717,736,1927,"","*"
"Yong Jian Rong",2011-01-23,"12th SA Millennium Cup",3,3,2,8,11,1030,91,103,1521,"",""
"Tony Sim",2011-03-13,"9th Lim Boon Heng Cup",1,3,4,18,9,786,1567,1582,1921,"",""
"Cheah Siu Hean",2011-03-13,"9th Lim Boon Heng Cup",1,3,6,18,9,429,1449,1464,1919,"",""
"Ricky Purnomo",2011-03-13,"9th Lim Boon Heng Cup",1,3,5,18,9,505,1058,1073,1898,"",""
"Andy Kurnia",2011-03-13,"9th Lim Boon Heng Cup",1,3,8,18,9,56,1164,1179,1823,"",""
"Marcus David Goh",2011-03-13,"9th Lim Boon Heng Cup",1,3,2,18,11,564,494,509,1966,"",""
"Toh Weibin",2011-03-13,"9th Lim Boon Heng Cup",1,3,3,18,10,822,415,430,1931,"",""
"Marlon Prudencio",2011-03-13,"9th Lim Boon Heng Cup",1,3,10,18,8,104,521,535,1877,"",""
"Yeo Kian Hung Henry",2011-03-13,"9th Lim Boon Heng Cup",1,3,1,18,12,1045,429,444,1905,"","*"
"Shim Yen Nee",2011-03-13,"9th Lim Boon Heng Cup",1,3,15,18,6,-534,1082,1097,1796,"",""
"Tony Sim",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,9,22,6,348,1583,1594,1885,"",""
"Cheah Siu Hean",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,4,22,8,271,1465,1476,1936,"",""
"Ricky Purnomo",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,3,22,8,616,1074,1085,1897,"",""
"Andy Kurnia",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,5,22,8,161,1180,1191,1873,"",""
"Toh Weibin",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,6,22,7,360,431,442,1927,"",""
"Marlon Prudencio",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,8,22,6,369,536,547,1861,"",""
"Yeo Kian Hung Henry",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,2,22,9,557,445,456,1959,"","*"
"Shim Yen Nee",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,12,22,6,-131,1098,1109,1812,"",""
"Yong Jian Rong",2011-04-16,"Survivors Only Scrabblathon (SOS)",1,1,15,22,5,210,104,113,1512,"",""
"Tony Sim",2011-05-15,"Jurong Green CC mini tournament",1,3,5,10,6,98,1595,1603,1914,"",""
"Cheah Siu Hean",2011-05-15,"Jurong Green CC mini tournament",1,3,2,10,6,263,1477,1485,1955,"",""
"Ricky Purnomo",2011-05-15,"Jurong Green CC mini tournament",1,3,1,10,8,639,1086,1094,1965,"",""
"Andy Kurnia",2011-05-15,"Jurong Green CC mini tournament",1,3,8,10,2,-313,1192,1200,1841,"",""
"Hubert Wee Ming Hui",2011-05-15,"Jurong Green CC mini tournament",1,3,10,10,2,-392,837,845,1917,"",""
"Marcus David Goh",2011-05-15,"Jurong Green CC mini tournament",1,3,9,10,2,-336,510,518,1914,"",""
"Toh Weibin",2011-05-15,"Jurong Green CC mini tournament",1,3,4,10,6,138,443,451,1948,"",""
"Marlon Prudencio",2011-05-15,"Jurong Green CC mini tournament",1,3,6,10,4,-114,548,556,1864,"",""
"Yeo Kian Hung Henry",2011-05-15,"Jurong Green CC mini tournament",1,3,7,10,3,-196,457,465,1925,"GM",""
"Shim Yen Nee",2011-05-15,"Jurong Green CC mini tournament",1,3,3,10,6,213,1110,1118,1858,"",""
"Yong Jian Rong",2011-05-15,"Jurong Green CC mini tournament",2,3,3,6,4,227,114,121,1544,"",""
"Tony Sim",2011-05-29,"Bishan Heights RC mini tournament",1,3,9,10,3,-219,1604,1612,1887,"",""
"Marcus David Goh",2011-05-29,"Bishan Heights RC mini tournament",1,3,3,10,6,299,519,527,1927,"",""
"Toh Weibin",2011-05-29,"Bishan Heights RC mini tournament",1,3,1,10,6,621,452,460,1953,"",""
"Marlon Prudencio",2011-05-29,"Bishan Heights RC mini tournament",1,3,7,10,4,-141,557,565,1856,"",""
"Liew Kian Boon",2011-05-29,"Bishan Heights RC mini tournament",1,3,2,10,6,391,420,428,1923,"",""
"Victor Chua",2011-05-29,"Bishan Heights RC mini tournament",1,3,5,10,4,142,737,745,1905,"","*"
"Yong Jian Rong",2011-05-29,"Bishan Heights RC mini tournament",2,3,1,10,7,749,122,130,1593,"",""
"Tony Sim",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,8,14,8,-150,1613,1628,1875,"",""
"Cheah Siu Hean",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,7,14,8,-99,1486,1501,1920,"",""
"Ricky Purnomo",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,2,14,12,875,1095,1110,1996,"",""
"Andy Kurnia",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,3,14,11,768,1201,1216,1900,"",""
"Marcus David Goh",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,11,14,6,-110,528,543,1869,"",""
"Toh Weibin",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,1,14,13,1027,461,476,1998,"",""
"Marlon Prudencio",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,4,14,10,705,566,581,1892,"",""
"Liew Kian Boon",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,5,14,9,327,429,444,1925,"",""
"Shim Yen Nee",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,6,14,9,-147,1119,1134,1876,"",""
"Victor Chua",2011-07-24,"Singapore National Scrabble Championship 2011",1,3,10,14,6,224,746,761,1849,"",""
"Yong Jian Rong",2011-07-24,"Singapore National Scrabble Championship 2011",2,3,1,24,9,657,131,142,1634,"","*"
"Tony Sim",2011-08-14,"Jurong Green CC mini tournament",1,3,6,8,4,-356,1629,1637,1865,"",""
"Cheah Siu Hean",2011-08-14,"Jurong Green CC mini tournament",1,3,5,8,5,14,1502,1510,1914,"",""
"Toh Weibin",2011-08-14,"Jurong Green CC mini tournament",1,3,2,8,6,578,477,485,1995,"",""
"Marlon Prudencio",2011-08-14,"Jurong Green CC mini tournament",1,3,1,8,7,417,582,590,1933,"",""
"Yong Jian Rong",2011-08-14,"Jurong Green CC mini tournament",2,3,6,8,3,-142,143,151,1589,"",""
"Tony Sim",2011-09-11,"Grandeur 8 mini tournament",1,2,2,10,6,-9,1638,1647,1887,"",""
"Cheah Siu Hean",2011-09-11,"Grandeur 8 mini tournament",1,2,1,10,7,396,1511,1520,1942,"",""
"Andy Kurnia",2011-09-11,"Grandeur 8 mini tournament",1,2,10,10,3,-229,1217,1226,1873,"",""
"Hubert Wee Ming Hui",2011-09-11,"Grandeur 8 mini tournament",1,2,7,10,4,-126,846,855,1901,"",""
"Marcus David Goh",2011-09-11,"Grandeur 8 mini tournament",1,2,6,10,5,-62,544,553,1874,"",""
"Toh Weibin",2011-09-11,"Grandeur 8 mini tournament",1,2,3,10,6,-49,486,495,1986,"",""
"Marlon Prudencio",2011-09-11,"Grandeur 8 mini tournament",1,2,5,10,5,-52,591,600,1921,"",""
"Shim Yen Nee",2011-09-11,"Grandeur 8 mini tournament",1,2,8,10,4,107,1135,1144,1864,"",""
"Yong Jian Rong",2011-09-11,"Grandeur 8 mini tournament",2,2,4,10,6,-82,152,161,1628,"","*"
"Tony Sim",2011-09-25,"Bishan Heights RC mini tournament",1,3,4,10,5,258,1648,1656,1882,"",""
"Cheah Siu Hean",2011-09-25,"Bishan Heights RC mini tournament",1,3,2,10,6,615,1521,1529,1941,"",""
"Andy Kurnia",2011-09-25,"Bishan Heights RC mini tournament",1,3,9,10,3,-344,1227,1235,1839,"",""
"Hubert Wee Ming Hui",2011-09-25,"Bishan Heights RC mini tournament",1,3,7,10,4,-276,856,864,1877,"",""
"Marlon Prudencio",2011-09-25,"Bishan Heights RC mini tournament",1,3,1,10,7,444,601,609,1941,"",""
"Yong Jian Rong",2011-09-25,"Bishan Heights RC mini tournament",2,3,5,8,4,-87,162,169,1605,"M",""
"Tony Sim",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,11,30,9,91,1657,1672,1884,"",""
"Cheah Siu Hean",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,9,30,9,402,1530,1545,1938,"",""
"Ricky Purnomo",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,7,30,9,-23,1111,1126,1977,"",""
"Andy Kurnia",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,6,30,10,242,1236,1251,1896,"",""
"Hubert Wee Ming Hui",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,2,30,11,537,865,880,1923,"",""
"Marlon Prudencio",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,14,30,8,166,610,625,1910,"",""
"Yeo Kian Hung Henry",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,12,30,9,48,466,481,1926,"",""
"Shim Yen Nee",2011-11-27,"14th Singapore Open Scrabble Championship",1,4,10,30,9,209,1145,1160,1880,"",""
"Yong Jian Rong",2011-11-27,"14th Singapore Open Scrabble Championship",2,4,6,24,9,1125,170,185,1600,"",""
"Tony Sim",2011-12-11,"Jurong Green CC mini tournament",1,3,2,10,7,255,1673,1681,1920,"",""
"Cheah Siu Hean",2011-12-11,"Jurong Green CC mini tournament",1,3,5,10,5,329,1546,1554,1931,"",""
"Andy Kurnia",2011-12-11,"Jurong Green CC mini tournament",1,3,9,10,3,-475,1252,1260,1866,"",""
"Marlon Prudencio",2011-12-11,"Jurong Green CC mini tournament",1,3,4,10,5,351,626,634,1909,"",""
"Shim Yen Nee",2011-12-11,"Jurong Green CC mini tournament",1,3,3,10,6,135,1161,1169,1901,"","*"
"Yong Jian Rong",2011-12-11,"Jurong Green CC mini tournament",2,3,2,10,6,579,186,194,1617,"",""
"Tony Sim",2012-01-15,"13th SA Millennium Cup",1,2,5,12,10,985,1682,1701,1864,"",""
"Cheah Siu Hean",2012-01-15,"13th SA Millennium Cup",1,2,3,12,12,1000,1555,1574,1922,"",""
"Ricky Purnomo",2012-01-15,"13th SA Millennium Cup",1,2,1,12,16,653,1127,1146,2020,"",""
"Andy Kurnia",2012-01-15,"13th SA Millennium Cup",1,2,7,12,9,236,1261,1280,1842,"",""
"Hubert Wee Ming Hui",2012-01-15,"13th SA Millennium Cup",1,2,2,12,13,777,881,900,1945,"",""
"Marlon Prudencio",2012-01-15,"13th SA Millennium Cup",1,2,6,12,10,293,635,654,1870,"",""
"Yong Jian Rong",2012-01-15,"13th SA Millennium Cup",2,2,1,8,16,2400,195,208,1735,"","*"
"Tony Sim",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012",1,3,5,14,9,366,1702,1717,1871,"",""
"Cheah Siu Hean",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012",1,3,4,14,9,634,1575,1590,1923,"",""
"Ricky Purnomo",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012",1,3,3,14,10,69,1147,1162,2006,"",""
"Andy Kurnia",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012",1,3,8,14,8,27,1281,1296,1842,"",""
"Hubert Wee Ming Hui",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012",1,3,2,14,14,1098,901,916,2020,"",""
"Yeo Kian Hung Henry",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012",1,3,7,14,8,249,482,497,1897,"",""
"Hubert Wee Ming Hui",2012-05-13,"Jurong Green CC mini tournament",1,3,1,10,7,1162,917,923,2020,"",""
"Marlon Prudencio",2012-05-13,"Jurong Green CC mini tournament",1,3,2,10,6,844,655,661,1871,"",""
"Yong Jian Rong",2012-05-13,"Jurong Green CC mini tournament",1,3,5,10,5,173,209,215,1745,"","*"
"Tony Sim",2012-05-27,"Bishan Heights RC mini tournament",1,3,6,10,4,104,1718,1726,1856,"",""
"Cheah Siu Hean",2012-05-27,"Bishan Heights RC mini tournament",1,3,5,10,5,58,1591,1599,1913,"",""
"Hubert Wee Ming Hui",2012-05-27,"Bishan Heights RC mini tournament",1,3,1,10,8,523,924,932,2032,"",""
"Marlon Prudencio",2012-05-27,"Bishan Heights RC mini tournament",1,3,2,10,7,403,662,670,1904,"",""
"Yeo Kian Hung Henry",2012-05-27,"Bishan Heights RC mini tournament",1,3,4,10,5,331,498,506,1892,"",""
"Yong Jian Rong",2012-05-27,"Bishan Heights RC mini tournament",1,3,9,10,3,-326,216,224,1740,"SM",""
"Tony Sim",2012-06-16,"Jurong Green CC Mind Sports Day",1,3,8,16,4,-89,1727,1733,1857,"",""
"Cheah Siu Hean",2012-06-16,"Jurong Green CC Mind Sports Day",1,3,3,16,5,31,1600,1606,1927,"",""
"Toh Weibin",2012-06-16,"Jurong Green CC Mind Sports Day",1,3,1,16,6,388,496,502,2002,"",""
"Marlon Prudencio",2012-06-16,"Jurong Green CC Mind Sports Day",1,3,2,16,5,920,671,677,1914,"",""
"Liew Kian Boon",2012-06-16,"Jurong Green CC Mind Sports Day",1,3,6,16,4,79,445,451,1921,"",""
"Yong Jian Rong",2012-06-16,"Jurong Green CC Mind Sports Day",1,3,9,16,3,3,225,230,1732,"",""
"Tony Sim",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,3,18,10,578,1734,1749,1889,"",""
"Cheah Siu Hean",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,2,18,11,473,1607,1622,1962,"",""
"Ricky Purnomo",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,8,18,9,-7,1163,1178,1982,"",""
"Andy Kurnia",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,13,18,7,58,1297,1312,1811,"",""
"Hubert Wee Ming Hui",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,7,18,9,545,933,948,1997,"",""
"Toh Weibin",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,4,18,10,529,503,518,1993,"",""
"Marlon Prudencio",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,9,18,8,500,678,693,1870,"",""
"Liew Kian Boon",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,1,18,13,884,452,467,1991,"",""
"Shim Yen Nee",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,6,18,10,247,1170,1185,1920,"GM",""
"Yong Jian Rong",2012-07-22,"Singapore National Scrabble Championship 2012",1,3,12,18,8,-136,231,246,1764,"",""
"Tony Sim",2012-08-12,"Jurong Green CC mini tournament",1,3,1,10,8,637,1750,1758,1962,"",""
"Cheah Siu Hean",2012-08-12,"Jurong Green CC mini tournament",1,3,3,10,6,279,1623,1631,1977,"",""
"Hubert Wee Ming Hui",2012-08-12,"Jurong Green CC mini tournament",1,3,6,10,4,164,949,957,1973,"",""
"Toh Weibin",2012-08-12,"Jurong Green CC mini tournament",1,3,2,10,6,488,519,527,2002,"",""
"Marlon Prudencio",2012-08-12,"Jurong Green CC mini tournament",1,3,5,10,5,141,694,702,1889,"",""
"Shim Yen Nee",2012-08-12,"Jurong Green CC mini tournament",1,3,8,10,4,-295,1186,1194,1913,"",""
"Yong Jian Rong",2012-08-12,"Jurong Green CC mini tournament",2,3,4,10,5,127,247,255,1742,"",""
"Tony Sim",2012-09-08,"Grandeur 8 mini tournament",1,2,4,12,6,140,1759,1768,1970,"",""
"Cheah Siu Hean",2012-09-08,"Grandeur 8 mini tournament",1,2,6,12,5,55,1632,1641,1973,"",""
"Ricky Purnomo",2012-09-08,"Grandeur 8 mini tournament",1,2,3,12,6,527,1179,1188,1981,"",""
"Andy Kurnia",2012-09-08,"Grandeur 8 mini tournament",1,2,5,12,6,-24,1313,1322,1853,"",""
"Hubert Wee Ming Hui",2012-09-08,"Grandeur 8 mini tournament",1,2,8,12,4,103,958,967,1942,"",""
"Marlon Prudencio",2012-09-08,"Grandeur 8 mini tournament",1,2,7,12,5,-5,703,712,1875,"",""
"Tony Sim",2012-10-06,"Oktobertilefest Scrabblemini",1,2,1,10,7,336,1769,1778,1975,"",""
"Andy Kurnia",2012-10-06,"Oktobertilefest Scrabblemini",1,2,9,10,4,-386,1323,1332,1835,"",""
"Hubert Wee Ming Hui",2012-10-06,"Oktobertilefest Scrabblemini",1,2,5,10,5,253,968,977,1921,"",""
"Marlon Prudencio",2012-10-06,"Oktobertilefest Scrabblemini",1,2,3,10,6,231,713,722,1888,"",""
"Yeo Kian Hung Henry",2012-10-06,"Oktobertilefest Scrabblemini",1,2,4,10,6,107,507,516,1901,"",""
"Shim Yen Nee",2012-10-06,"Oktobertilefest Scrabblemini",1,2,2,10,6,317,1195,1204,1912,"",""
"Yong Jian Rong",2012-10-06,"Oktobertilefest Scrabblemini",1,2,7,10,5,-432,256,265,1774,"",""
"Tony Sim",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,12,28,8,-136,1779,1794,1952,"",""
"Cheah Siu Hean",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,5,28,10,234,1642,1657,1957,"",""
"Ricky Purnomo",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,6,28,10,182,1189,1204,1987,"",""
"Andy Kurnia",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,15,28,8,84,1333,1347,1809,"",""
"Hubert Wee Ming Hui",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,8,28,9,453,978,993,1928,"",""
"Marlon Prudencio",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,13,28,8,334,723,738,1894,"",""
"Liew Kian Boon",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,3,28,10,583,468,483,1997,"",""
"Yeo Kian Hung Henry",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,4,28,10,504,517,532,1945,"",""
"Shim Yen Nee",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,16,28,8,28,1205,1219,1859,"",""
"Yong Jian Rong",2012-11-18,"15th Singapore Open Scrabble Championship",1,2,17,28,8,-10,266,281,1776,"",""
"Tony Sim",2012-12-09,"Jurong Green CC mini tournament",1,3,5,8,4,-29,1795,1803,1927,"",""
"Hubert Wee Ming Hui",2012-12-09,"Jurong Green CC mini tournament",1,3,4,8,5,433,994,1002,1932,"",""
"Marlon Prudencio",2012-12-09,"Jurong Green CC mini tournament",1,3,6,8,4,-98,739,747,1886,"",""
"Liew Kian Boon",2012-12-09,"Jurong Green CC mini tournament",1,3,1,8,8,578,484,492,2030,"",""
"Yong Jian Rong",2012-12-09,"Jurong Green CC mini tournament",1,3,3,8,6,-118,282,290,1844,"","*"
"Tony Sim",2013-01-13,"14th SA Millennium Cup",1,2,4,10,10,-325,1804,1821,1947,"",""
"Cheah Siu Hean",2013-01-13,"14th SA Millennium Cup",1,2,5,10,9,252,1658,1675,1955,"",""
"Ricky Purnomo",2013-01-13,"14th SA Millennium Cup",1,2,7,10,8,-296,1205,1222,1956,"",""
"Andy Kurnia",2013-01-13,"14th SA Millennium Cup",2,2,2,14,12,1269,1348,1363,1793,"",""
"Hubert Wee Ming Hui",2013-01-13,"14th SA Millennium Cup",1,2,1,10,11,691,1003,1020,1974,"",""
"Marlon Prudencio",2013-01-13,"14th SA Millennium Cup",1,2,8,10,8,29,748,765,1892,"",""
"Liew Kian Boon",2013-01-13,"14th SA Millennium Cup",1,2,2,10,11,655,493,510,2029,"",""
"Shim Yen Nee",2013-01-13,"14th SA Millennium Cup",1,2,10,10,5,-753,1220,1237,1829,"",""
"Yong Jian Rong",2013-01-13,"14th SA Millennium Cup",1,2,6,10,9,-237,291,308,1892,"","*"
"Tony Sim",2013-02-02,"Survivors Only Scrabblathon (SOS)",1,1,7,20,7,233,1822,1833,1929,"",""
"Andy Kurnia",2013-02-02,"Survivors Only Scrabblathon (SOS)",1,1,13,20,5,66,1364,1375,1758,"",""
"Marlon Prudencio",2013-02-02,"Survivors Only Scrabblathon (SOS)",1,1,5,20,7,527,766,777,1900,"",""
"Yeo Kian Hung Henry",2013-02-02,"Survivors Only Scrabblathon (SOS)",1,1,9,20,6,114,533,544,1908,"",""
"Shim Yen Nee",2013-02-02,"Survivors Only Scrabblathon (SOS)",1,1,4,20,8,-42,1238,1249,1871,"",""
"Yong Jian Rong",2013-02-02,"Survivors Only Scrabblathon (SOS)",1,1,8,20,7,191,309,320,1893,"NM",""
"Tony Sim",2013-03-09,"SOS G8",1,1,3,10,6,164,1834,1843,1931,"",""
"Cheah Siu Hean",2013-03-09,"SOS G8",1,1,2,10,8,506,1676,1685,1981,"",""
"Andy Kurnia",2013-03-09,"SOS G8",1,1,8,10,4,-480,1376,1385,1764,"",""
"Hubert Wee Ming Hui",2013-03-09,"SOS G8",1,1,4,10,5,68,1021,1030,1949,"",""
"Marlon Prudencio",2013-03-09,"SOS G8",1,1,1,10,8,1018,778,787,1940,"",""
"Liew Kian Boon",2013-03-09,"SOS G8",1,1,7,10,4,-25,511,520,1995,"",""
"Tony Sim",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,9,10,3,-249,1844,1852,1905,"",""
"Cheah Siu Hean",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,1,10,6,309,1686,1694,1992,"",""
"Ricky Purnomo",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,3,10,5,220,1223,1231,1956,"",""
"Andy Kurnia",2013-03-17,"NTU WGS Scrabble Mini 2013",2,2,3,20,6,288,1386,1393,1775,"",""
"Hubert Wee Ming Hui",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,6,10,4,95,1031,1039,1935,"",""
"Liew Kian Boon",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,2,10,6,61,521,529,2003,"",""
"Victor Chua",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,10,10,3,-396,762,770,1841,"",""
"Yong Jian Rong",2013-03-17,"NTU WGS Scrabble Mini 2013",1,2,4,10,5,-34,321,329,1907,"","*"
"Tony Sim",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,6,18,9,395,1853,1868,1896,"",""
"Cheah Siu Hean",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,5,18,9,385,1695,1710,1962,"",""
"Ricky Purnomo",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,9,18,8,362,1232,1247,1913,"",""
"Andy Kurnia",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,10,18,8,72,1394,1409,1792,"",""
"Hubert Wee Ming Hui",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,8,18,8,458,1040,1055,1920,"",""
"Marlon Prudencio",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,3,18,10,519,788,803,1955,"",""
"Yong Jian Rong",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013",1,2,7,18,9,300,330,345,1913,"","*"
"Andy Kurnia",2013-05-12,"Jurong Green CC mini tournament",1,2,2,8,6,211,1410,1418,1834,"",""
"Marlon Prudencio",2013-05-12,"Jurong Green CC mini tournament",1,2,1,8,8,643,804,812,1988,"",""
"Yong Jian Rong",2013-05-12,"Jurong Green CC mini tournament",1,2,5,8,4,67,346,353,1879,"",""
"Tony Sim",2013-06-02,"Bishan Heights RC mini tournament",1,3,8,10,3,-60,1869,1877,1872,"",""
"Cheah Siu Hean",2013-06-02,"Bishan Heights RC mini tournament",1,3,2,10,6,234,1711,1719,1971,"",""
"Andy Kurnia",2013-06-02,"Bishan Heights RC mini tournament",1,3,10,10,2,-87,1419,1427,1808,"",""
"Hubert Wee Ming Hui",2013-06-02,"Bishan Heights RC mini tournament",1,3,3,10,5,249,1056,1064,1922,"",""
"Marlon Prudencio",2013-06-02,"Bishan Heights RC mini tournament",1,3,1,10,8,840,813,821,2024,"",""
"Liew Kian Boon",2013-06-02,"Bishan Heights RC mini tournament",1,3,5,10,5,-10,530,538,1993,"",""
"Victor Chua",2013-06-02,"Bishan Heights RC mini tournament",1,3,4,10,5,26,771,779,1861,"",""
"Tony Sim",2013-06-23,"EM23JUNE",1,2,5,10,5,-126,1878,1887,1874,"",""
"Andy Kurnia",2013-06-23,"EM23JUNE",1,2,9,10,3,-335,1428,1437,1791,"",""
"Hubert Wee Ming Hui",2013-06-23,"EM23JUNE",1,2,3,10,7,412,1065,1074,1943,"",""
