Name,Opp,Tournament,Date,Round,ScoreFor,ScoreAgainst,Difference,Win,Loss,Margin,Source
Ricky Purnomo,Yeo Kian Hung Henry,8th Singapore Open Scrabble Championship,30 Oct 2005,11,455 -,346,+109,8    -,4,+660,SA
Ricky Purnomo,Yeo Kian Hung Henry,8th Singapore Open Scrabble Championship,30 Oct 2005,15,531 -,306,+225,9    -,4,+885,SA
Ricky Purnomo,Yeo Kian Hung Henry,4th Lim Boon Heng Cup,19 Mar 2006,9,380 -,522,-142,9    -,5,+743,SA
Ricky Purnomo,Yeo Kian Hung Henry,4th Lim Boon Heng Cup,19 Mar 2006,14,416 -,395,+21,10    -,5,+764,SA
Ricky Purnomo,Yeo Kian Hung Henry,Jurong Green CC mini tournament,15 Oct 2006,2,416 -,429,-13,10    -,6,+751,SA
Ricky Purnomo,Yeo Kian Hung Henry,5th Lim Boon Heng Cup,18 Mar 2007,4,371 -,486,-115,10    -,7,+636,SA
Ricky Purnomo,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,8,461 -,385,+76,11    -,7,+712,SA
Ricky Purnomo,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,17,355 -,476,-121,11    -,8,+591,SA
Ricky Purnomo,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,7,455 -,399,+56,12    -,8,+647,SA
Ricky Purnomo,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,13,501 -,455,+46,13    -,8,+693,SA
Ricky Purnomo,Yeo Kian Hung Henry,8th Lim Boon Heng Cup,7 Mar 2010,4,329 -,451,-122,13    -,9,+571,SA
Ricky Purnomo,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,5,507 -,400,+107,14    -,9,+678,SA
Ricky Purnomo,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,10,380 -,433,-53,14    -,10,+625,SA
Ricky Purnomo,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,12,411 -,446,-35,14    -,11,+590,SA
Ricky Purnomo,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,17,446 -,398,+48,15    -,11,+638,SA
Ricky Purnomo,Yeo Kian Hung Henry,9th Lim Boon Heng Cup,13 Mar 2011,4,362 -,388,-26,15    -,12,+612,SA
Ricky Purnomo,Yeo Kian Hung Henry,Survivors Only Scrabblathon (SOS),16 Apr 2011,1,344 -,420,-76,15    -,13,+536,SA
Ricky Purnomo,Yeo Kian Hung Henry,Survivors Only Scrabblathon (SOS),16 Apr 2011,11,374 -,424,-50,15    -,14,+486,SA
Ricky Purnomo,Yeo Kian Hung Henry,Jurong Green CC mini tournament,15 May 2011,2,486 -,371,+115,16    -,14,+601,SA
Ricky Purnomo,Yeo Kian Hung Henry,14th Singapore Open Scrabble Championship,27 Nov 2011,12,462 -,420,+42,17    -,14,+643,SA
Ricky Purnomo,Yeo Kian Hung Henry,14th Singapore Open Scrabble Championship,27 Nov 2011,14,443 -,443,0,17½ -,14½,+643,SA
Ricky Purnomo,Yeo Kian Hung Henry,Jurong Green CC Scrabble Open Championship 2012,18 Mar 2012,3,391 -,377,+14,18½ -,14½,+657,SA
Ricky Purnomo,Yeo Kian Hung Henry,15th Singapore Open Scrabble Championship,18 Nov 2012,10,364 -,417,-53,18½ -,15½,+604,SA
Ricky Purnomo,Yeo Kian Hung Henry,Grandeur 8 mini tournament,8 Sep 2013,11,484 -,318,+166,19½ -,15½,+770,SA
Ricky Purnomo,Yeo Kian Hung Henry,Jurong Green CC Scrabble Open Championship 2014,30 Mar 2014,1,485 -,331,+154,20½ -,15½,+924,SA
Ricky Purnomo,Martin Teo,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,13,444 -,374,+70,1    -,0,+70,SA
Ricky Purnomo,Martin Teo,Survivors Only Scrabblathon (SOS),16 Apr 2011,2,369 -,524,-155,1    -,1,-85,SA
Ricky Purnomo,Martin Teo,Survivors Only Scrabblathon (SOS),16 Apr 2011,6,506 -,377,+129,2    -,1,+44,SA
Ricky Purnomo,Martin Teo,14th Singapore Open Scrabble Championship,27 Nov 2011,2,483 -,422,+61,3    -,1,+105,SA
Ricky Purnomo,Jocelyn Lor,2nd Singapore Open Scrabble Championship,30 May 1999,2,342 -,274,+68,1    -,0,+68,SA
Ricky Purnomo,Jocelyn Lor,6th Hong Kah East CC - St John's Institution Annual Friendly,26 Mar 2000,7,351 -,405,-54,1    -,1,+14,SA
Ricky Purnomo,Jocelyn Lor,Mind Sports Olympiad,10 Sep 2000,7,422 -,449,-27,1    -,2,-13,SA
Ricky Purnomo,Jocelyn Lor,Mind Sports Olympiad,10 Sep 2000,20,490 -,375,+115,2    -,2,+102,SA
Ricky Purnomo,Jocelyn Lor,4th Singapore Open Scrabble Championship,6 May 2001,11,330 -,387,-57,2    -,3,+45,SA
Ricky Purnomo,Jocelyn Lor,4th Singapore Open Scrabble Championship,6 May 2001,14,436 -,435,+1,3    -,3,+46,SA
Ricky Purnomo,Jocelyn Lor,"not the 9th Kenneth Chen Cup, day 1",24 Nov 2001,6,318 -,395,-77,3    -,4,-31,SA
Ricky Purnomo,Jocelyn Lor,"not the 9th Kenneth Chen Cup, day 2",25 Nov 2001,4,371 -,441,-70,3    -,5,-101,SA
Ricky Purnomo,Jocelyn Lor,1st Temasek Open,3 Mar 2002,10,439 -,370,+69,4    -,5,-32,SA
Ricky Purnomo,Jocelyn Lor,1st Lim Boon Heng Cup,1 Dec 2002,5,391 -,438,-47,4    -,6,-79,SA
Ricky Purnomo,Jocelyn Lor,2nd Temasek Open,16 Mar 2003,5,414 -,397,+17,5    -,6,-62,SA
Ricky Purnomo,Jocelyn Lor,2nd Harmony Cup,7 Sep 2003,11,437 -,360,+77,6    -,6,+15,SA
Ricky Purnomo,Jocelyn Lor,2nd Lim Boon Heng Cup,23 Nov 2003,2,500 -,336,+164,7    -,6,+179,SA
Ricky Purnomo,Jocelyn Lor,7th Singapore Open Scrabble Championship,6 Jun 2004,9,431 -,363,+68,8    -,6,+247,SA
Ricky Purnomo,Jocelyn Lor,4th Lim Boon Heng Cup,19 Mar 2006,3,398 -,402,-4,8    -,7,+243,SA
Ricky Purnomo,Jocelyn Lor,5th Lim Boon Heng Cup,18 Mar 2007,14,364 -,525,-161,8    -,8,+82,SA
Ricky Purnomo,Jocelyn Lor,6th Lim Boon Heng Cup,16 Mar 2008,9,462 -,358,+104,9    -,8,+186,SA
Ricky Purnomo,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,15,343 -,388,-45,9    -,9,+141,SA
Ricky Purnomo,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,7,469 -,405,+64,10    -,9,+205,SA
Ricky Purnomo,Jocelyn Lor,9th Lim Boon Heng Cup,13 Mar 2011,16,388 -,356,+32,11    -,9,+237,SA
Ricky Purnomo,Jocelyn Lor,Survivors Only Scrabblathon (SOS),16 Apr 2011,8,459 -,261,+198,12    -,9,+435,SA
Ricky Purnomo,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,3,437 -,388,+49,13    -,9,+484,SA
Ricky Purnomo,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,4,430 -,376,+54,14    -,9,+538,SA
Ricky Purnomo,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,15,593 -,350,+243,15    -,9,+781,SA
Ricky Purnomo,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,16,439 -,423,+16,16    -,9,+797,SA
Ricky Purnomo,Jocelyn Lor,Jurong Green CC Scrabble Open Championship 2012,18 Mar 2012,4,354 -,438,-84,16    -,10,+713,SA
Ricky Purnomo,Jocelyn Lor,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,13,352 -,496,-144,16    -,11,+569,SA
Ricky Purnomo,Tan Jin Chor,2nd Singapore Open Scrabble Championship,30 May 1999,3,344 -,397,-53,0    -,1,-53,SA
Ricky Purnomo,Tan Jin Chor,Mind Sports Olympiad,10 Sep 2000,17,368 -,463,-95,0    -,2,-148,SA
Ricky Purnomo,Tan Jin Chor,"not the 9th Kenneth Chen Cup, day 2",25 Nov 2001,3,361 -,449,-88,0    -,3,-236,SA
Ricky Purnomo,Tan Jin Chor,"not the 9th Kenneth Chen Cup, day 2",25 Nov 2001,9,455 -,399,+56,1    -,3,-180,SA
Ricky Purnomo,Tan Jin Chor,Grandeur 8 mini tournament,28 Sep 2008,9,371 -,375,-4,1    -,4,-184,SA
Ricky Purnomo,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,8,409 -,460,-51,1    -,5,-235,SA
Ricky Purnomo,Alex Tan,1st Temasek Open,3 Mar 2002,5,442 -,380,+62,1    -,0,+62,SA
Ricky Purnomo,Alex Tan,1st Temasek Open,3 Mar 2002,11,438 -,434,+4,2    -,0,+66,SA
Ricky Purnomo,Alex Tan,8th Jurong Green CC - St John's Institution Annual Friendly,28 Apr 2002,6,418 -,441,-23,2    -,1,+43,SA
Ricky Purnomo,Alex Tan,1st Lim Boon Heng Cup,1 Dec 2002,10,392 -,373,+19,3    -,1,+62,SA
Ricky Purnomo,Alex Tan,4th SA Millennium Cup,26 Jan 2003,5,446 -,287,+159,4    -,1,+221,SA
Ricky Purnomo,Alex Tan,4th SA Millennium Cup,26 Jan 2003,14,442 -,369,+73,5    -,1,+294,SA
Ricky Purnomo,Alex Tan,2nd Temasek Open,16 Mar 2003,1,364 -,434,-70,5    -,2,+224,SA
Ricky Purnomo,Alex Tan,2nd Temasek Open,16 Mar 2003,10,453 -,373,+80,6    -,2,+304,SA
Ricky Purnomo,Alex Tan,9th Lim Boon Heng Cup,13 Mar 2011,5,366 -,416,-50,6    -,3,+254,SA
Ricky Purnomo,Alex Tan,14th Singapore Open Scrabble Championship,27 Nov 2011,5,387 -,494,-107,6    -,4,+147,SA
Shim Yen Nee,Nigel Richards,6th Singapore Open Scrabble Championship,15 Jun 2003,1,377 -,420,-43,0    -,1,-43,SA
Shim Yen Nee,Nigel Richards,2nd Harmony Cup,7 Sep 2003,1,423 -,437,-14,0    -,2,-57,SA
Shim Yen Nee,Nigel Richards,2nd Lim Boon Heng Cup,23 Nov 2003,5,305 -,459,-154,0    -,3,-211,SA
Shim Yen Nee,Nigel Richards,2nd Lim Boon Heng Cup,23 Nov 2003,16,349 -,507,-158,0    -,4,-369,SA
Shim Yen Nee,Nigel Richards,7th Singapore Open Scrabble Championship,6 Jun 2004,1,405 -,452,-47,0    -,5,-416,SA
Shim Yen Nee,Nigel Richards,3rd Lim Boon Heng Cup,21 Nov 2004,1,407 -,393,+14,1    -,5,-402,SA
Shim Yen Nee,Nigel Richards,4th Lim Boon Heng Cup,19 Mar 2006,1,303 -,548,-245,1    -,6,-647,SA
Shim Yen Nee,Nigel Richards,10th Singapore Open Scrabble Championship,27 May 2007,7,396 -,534,-138,1    -,7,-785,SA
Shim Yen Nee,Nigel Richards,6th Lim Boon Heng Cup,16 Mar 2008,1,388 -,385,+3,2    -,7,-782,SA
Shim Yen Nee,Nigel Richards,11th Singapore Open Scrabble Championship,25 May 2008,7,367 -,411,-44,2    -,8,-826,SA
Shim Yen Nee,Nigel Richards,7th Lim Boon Heng Cup,22 Mar 2009,10,372 -,548,-176,2    -,9,-1002,SA
Shim Yen Nee,Nigel Richards,12th Singapore Open Scrabble Championship,31 May 2009,6,388 -,549,-161,2    -,10,-1163,SA
Shim Yen Nee,Nigel Richards,8th Lim Boon Heng Cup,7 Mar 2010,5,384 -,531,-147,2    -,11,-1310,SA
Shim Yen Nee,Nigel Richards,13th Singapore Open Scrabble Championship,14 Nov 2010,3,286 -,581,-295,2    -,12,-1605,SA
Shim Yen Nee,Nigel Richards,15th Singapore Open Scrabble Championship,18 Nov 2012,2,305 -,534,-229,2    -,13,-1834,SA
Shim Yen Nee,Aaron Chong,Survivors Only Scrabblathon (SOS),16 Apr 2011,6,372 -,447,-75,0    -,1,-75,SA
Shim Yen Nee,Aaron Chong,Survivors Only Scrabblathon (SOS),16 Apr 2011,8,349 -,417,-68,0    -,2,-143,SA
Shim Yen Nee,Aaron Chong,Jurong Green CC mini tournament,11 Dec 2011,6,413 -,476,-63,0    -,3,-206,SA
Shim Yen Nee,Aaron Chong,Jurong Green CC mini tournament,12 Aug 2012,7,409 -,530,-121,0    -,4,-327,SA
Shim Yen Nee,Aaron Chong,14th SA Millennium Cup,13 Jan 2013,1,347 -,529,-182,0    -,5,-509,SA
Shim Yen Nee,Aaron Chong,14th SA Millennium Cup,13 Jan 2013,10,357 -,508,-151,0    -,6,-660,SA
Shim Yen Nee,Aaron Chong,Survivors Only Scrabblathon (SOS),2 Feb 2013,5,431 -,331,+100,1    -,6,-560,SA
Shim Yen Nee,Aaron Chong,Survivors Only Scrabblathon (SOS),2 Feb 2013,8,345 -,705,-360,1    -,7,-920,SA
Shim Yen Nee,Aaron Chong,Survivors Only Scrabblathon (SOS),2 Feb 2013,10,310 -,497,-187,1    -,8,-1107,SA
Shim Yen Nee,Yeo Kian Hung Henry,2nd Temasek Open,16 Mar 2003,9,391 -,414,-23,0    -,1,-23,SA
Shim Yen Nee,Yeo Kian Hung Henry,2nd Harmony Cup,7 Sep 2003,4,356 -,403,-47,0    -,2,-70,SA
Shim Yen Nee,Yeo Kian Hung Henry,Jurong Green CC mini tournament,5 Oct 2003,2,314 -,321,-7,0    -,3,-77,SA
Shim Yen Nee,Yeo Kian Hung Henry,Jurong Green CC mini tournament,5 Oct 2003,8,368 -,430,-62,0    -,4,-139,SA
Shim Yen Nee,Yeo Kian Hung Henry,7th Singapore Open Scrabble Championship,6 Jun 2004,5,355 -,388,-33,0    -,5,-172,SA
Shim Yen Nee,Yeo Kian Hung Henry,7th Singapore Open Scrabble Championship,6 Jun 2004,14,406 -,440,-34,0    -,6,-206,SA
Shim Yen Nee,Yeo Kian Hung Henry,Teck Ghee Zone B Residents' Committee mini tournament,5 Jun 2005,9,386 -,399,-13,0    -,7,-219,SA
Shim Yen Nee,Yeo Kian Hung Henry,4th Lim Boon Heng Cup,19 Mar 2006,7,431 -,362,+69,1    -,7,-150,SA
Shim Yen Nee,Yeo Kian Hung Henry,Grandeur 8 mini tournament,27 Aug 2006,10,363 -,526,-163,1    -,8,-313,SA
Shim Yen Nee,Yeo Kian Hung Henry,9th SA Millennium Cup,27 Jan 2008,9,435 -,429,+6,2    -,8,-307,SA
Shim Yen Nee,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,6,400 -,429,-29,2    -,9,-336,SA
Shim Yen Nee,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,15,329 -,461,-132,2    -,10,-468,SA
Shim Yen Nee,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,5,365 -,407,-42,2    -,11,-510,SA
Shim Yen Nee,Yeo Kian Hung Henry,8th Lim Boon Heng Cup,7 Mar 2010,8,379 -,406,-27,2    -,12,-537,SA
Shim Yen Nee,Yeo Kian Hung Henry,9th Lim Boon Heng Cup,13 Mar 2011,2,257 -,562,-305,2    -,13,-842,SA
Shim Yen Nee,Yeo Kian Hung Henry,Survivors Only Scrabblathon (SOS),16 Apr 2011,4,477 -,414,+63,3    -,13,-779,SA
Shim Yen Nee,Yeo Kian Hung Henry,Jurong Green CC mini tournament,15 May 2011,4,416 -,374,+42,4    -,13,-737,SA
Shim Yen Nee,Yeo Kian Hung Henry,14th Singapore Open Scrabble Championship,27 Nov 2011,10,390 -,486,-96,4    -,14,-833,SA
Shim Yen Nee,Yeo Kian Hung Henry,Oktobertilefest Scrabblemini,6 Oct 2012,9,355 -,411,-56,4    -,15,-889,SA
Shim Yen Nee,Yeo Kian Hung Henry,15th Singapore Open Scrabble Championship,18 Nov 2012,5,379 -,469,-90,4    -,16,-979,SA
Shim Yen Nee,Martin Teo,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,9,478 -,527,-49,0    -,1,-49,SA
Shim Yen Nee,Martin Teo,Survivors Only Scrabblathon (SOS),16 Apr 2011,11,520 -,344,+176,1    -,1,+127,SA
Shim Yen Nee,Jocelyn Lor,1st Lim Boon Heng Cup,1 Dec 2002,8,346 -,433,-87,0    -,1,-87,SA
Shim Yen Nee,Jocelyn Lor,2nd Temasek Open,16 Mar 2003,6,343 -,303,+40,1    -,1,-47,SA
Shim Yen Nee,Jocelyn Lor,2nd Temasek Open,16 Mar 2003,14,280 -,430,-150,1    -,2,-197,SA
Shim Yen Nee,Jocelyn Lor,2nd Harmony Cup,7 Sep 2003,2,374 -,463,-89,1    -,3,-286,SA
Shim Yen Nee,Jocelyn Lor,2nd Lim Boon Heng Cup,23 Nov 2003,11,357 -,351,+6,2    -,3,-280,SA
Shim Yen Nee,Jocelyn Lor,8th Singapore Open Scrabble Championship,30 Oct 2005,4,341 -,383,-42,2    -,4,-322,SA
Shim Yen Nee,Jocelyn Lor,4th Lim Boon Heng Cup,19 Mar 2006,8,361 -,408,-47,2    -,5,-369,SA
Shim Yen Nee,Jocelyn Lor,9th Singapore Open Scrabble Championship,28 May 2006,12,330 -,448,-118,2    -,6,-487,SA
