Name,Date,Tournament,Division,TotalDivs,Placement,Players,Wins,Margin,GamesFirst,GamesLast,Rating,Norm
Ricky Purnomo,24 Jan 2010,11th SA Millennium Cup,1 of,2,1st of,10,14,+659,961 -,978,2017,
Ricky Purnomo,7 Mar 2010,8th Lim Boon Heng Cup,1 of,3,11th of,14,7,-271,979 -,994,1973,
Ricky Purnomo,18 Jul 2010,Singapore National Scrabble Championship 2010,1 of,3,2nd of,16,11,+694,995 -,1010,1980,
Ricky Purnomo,23 Oct 2010,Grandeur 8 mini tournament,1 of,2,8th of,10,4,+44,1011 -,1020,1949,
Ricky Purnomo,21 Nov 2010,Yew Tee Scrabble Open Championship 2010,1 of,2,3rd of,26,11,+483,1021 -,1037,1936,
Ricky Purnomo,15 Feb 2009,Jurong Green CC mini tournament,1 of,2,4th of,8,5,+35,870 -,877,1804,
Ricky Purnomo,1 Mar 2009,10th SA Millennium Cup,1 of,2,6th of,10,9,-81,878 -,895,1813,
Ricky Purnomo,22 Mar 2009,7th Lim Boon Heng Cup,1 of,3,5th of,16,11,+245,896 -,911,1866,
Ricky Purnomo,17 May 2009,Jurong Green CC mini tournament,1 of,2,1st of,10,8,+616,912 -,920,1915,
Ricky Purnomo,31 May 2009,12th Singapore Open Scrabble Championship,1 of,3,4th of,18,10,+400,921 -,936,1934,
Ricky Purnomo,16 Aug 2009,Jurong Green CC mini tournament,1 of,3,4th of,9,5,+177,937 -,944,1937,
Ricky Purnomo,22 Nov 2009,Yew Tee Scrabble Open Championship 2009,1 of,3,3rd of,20,11,+106,945 -,960,1980,
Ricky Purnomo,16 Mar 2008,6th Lim Boon Heng Cup,1 of,3,9th of,12,7,-298,828 -,843,1800,
Ricky Purnomo,20 Jul 2008,Singapore National Scrabble Championship 2008,1 of,3,12th of,24,8,-359,844 -,859,1795,
Ricky Purnomo,28 Sep 2008,Grandeur 8 mini tournament,1 of,1,16th of,18,3,+200,860 -,869,1751,
Ricky Purnomo,28 Jan 2007,8th SA Millennium Cup,1 of,2,5th of,22,10,+82,748 -,763,1820,
Ricky Purnomo,4 Mar 2007,7th NTU Open Scrabble Championship,1 of,2,7th of,14,4,+167,764 -,771,1808,
Ricky Purnomo,18 Mar 2007,5th Lim Boon Heng Cup,1 of,3,10th of,18,8,-132,772 -,787,1796,
Ricky Purnomo,27 May 2007,10th Singapore Open Scrabble Championship,1 of,3,8th of,18,8,+417,788 -,803,1790,
