"","player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"75","Tengku Asri",2,486,7,26,"N",1,"Win","N","Cheah Siu Hean",396,90,1.5,90,455,486,424,150090,3,2,11
"76","Theng Wai Mun",2,282,10,35,"N",0,"Lose","N","Yong Jian Rong",393,-111,0,-405,224.5,282,167,-405,3,3,40
"77","Tony Sim",2,587,17,4,"N",1,"Win","N","Alex Tan",360,227,2,260,500.5,587,414,200260,3,4,5
"78","Yeo Kian Hung",2,556,18,8,"N",1,"Win","N","Tay Jing En",367,189,2,395,538,556,520,200395,2,3,2
"79","Yong Jian Rong",2,393,35,10,"N",1,"Win","N","Theng Wai Mun",282,111,1,-124,328,393,263,99876,1,3,28
"80","Zz Bye",2,100,11,40,"Y",0,"Lose","N","Ricky Purnomo",150,-50,0,-100,100,100,100,-100,16,-Inf,33
"81","Alastair Richards",3,465,19,2,"N",1,"Win","N","Poh Ying Ming",389,76,2,230,480,511,464,200230,2,3,9
"82","Alex Tan",3,361,6,17,"N",0,"Lose","N","Andy Kurnia",406,-45,1,-233,378,413,360,99767,3,8,32
"83","Ananto Widodo",3,150,40,37,"Y",1,"Win","N","Zz Bye",100,50,1,-77,292,374,150,99923,4,1,27
"84","Andri Prasetyo",3,402,35,38,"N",1,"Win","N","Theng Wai Mun",359,43,1,-349,323.333333333333,402,268,99651,4,2,35
"85","Andy Kurnia",3,406,17,6,"N",1,"Win","N","Alex Tan",361,45,1.5,-226,374,424,292,149774,2,2,21
"86","Arul Inthirarajah",3,441,24,30,"N",0,"Lose","N","Neo Wei Sheng",472,-31,1,14,379.333333333333,498,199,100014,4,3,23
"87","Cheah Siu Hean",3,498,34,7,"N",1,"Win","N","Mary Morgan",278,220,1,128,432.666666666667,498,396,100128,2,3,22
"88","Chew Han Ei",3,404,25,23,"N",0,"Lose","N","Leon Tan",488,-84,1,-46,403.666666666667,408,399,99954,2,3,26
"89","Dianne Ward",3,352,21,22,"N",0,"Lose","N","Karen Richards",424,-72,1,-109,375,423,350,99891,2,3,28
"90","Elizabeth Wok",3,364,36,29,"N",1,"Win","N","Sharon Chia",337,27,1,-220,320.666666666667,364,299,99780,2,3,31
"91","Gabriel Cheang",3,472,26,16,"N",1,"Win","N","Tengku Asri",302,170,2,368,463.666666666667,505,414,200368,2,2,7
"92","Gan Yi En",3,367,4,13,"N",0,"Lose","N","Tony Sim",527,-160,2,75,432,494,367,200075,3,2,14
