"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Lee Cheong Cheng",5,402,4,13,"N",0,"Lose","Y","Tony Sim",596,-194,1,0,0,0,1,1,"N",1,0,3,3,230
"Jeremy Khoo",5,327,8,14,"N",0,"Lose","Y","J Jeyaseelan",415,-88,2,0,0,0,1,1,"Y",0,58,4,0,0
"Tay Jing En",5,437,5,15,"N",1,"Win","N","Michael Tang",368,69,2,0,0,0,1,2,"N",10,52,5,3,232
"Leon Tan",5,298,6,16,"N",0,"Lose","Y","Lim Li Wei",343,-45,1,0,0,1,1,3,"N",9,19,6,1,81
"Cheah Siu Hean",6,413,11,1,"N",1,"Win","Y","Shim Yen Nee",288,125,2,1,0,0,1,2,"N",2,30,6,1,74
"Hubert Wee",6,404,13,2,"N",1,"Win","Y","Lee Cheong Cheng",376,28,1,0,0,0,1,1,"",NA,NA,3,1,74
"Marlon Prudencio",6,478,9,3,"N",1,"Win","Y","Andy Kurnia",426,52,1,0,0,0,1,3,"N",9,59,5,3,222
"Tony Sim",6,454,16,4,"N",1,"Win","Y","Leon Tan",370,84,2,1,1,0,0,3,"N",1,5,7,3,236
"Michael Tang",6,464,7,5,"N",1,"Win","Y","Lee Guan Hui",387,77,2,0,0,1,0,2,"N",6,51,5,3,220
"Lim Li Wei",6,319,14,6,"N",0,"Lose","Y","Jeremy Khoo",460,-141,1,1,0,1,1,2,"N",1,7,6,1,83
"Lee Guan Hui",6,387,5,7,"N",0,"Lose","N","Michael Tang",464,-77,0,1,1,0,1,2,"N",5,39,5,1,89
"J Jeyaseelan",6,465,12,8,"N",1,"Win","Y","Gabriel Cheang",381,84,1,0,0,1,1,2,"Y",0,44,5,2,163
"Andy Kurnia",6,426,3,9,"N",0,"Lose","N","Marlon Prudencio",478,-52,1,1,1,1,0,1,"N",1,9,5,2,167
"Yong Jian Rong",6,392,15,10,"N",0,"Lose","N","Tay Jing En",414,-22,1,1,1,0,1,1,"N",6,20,5,1,87
"Shim Yen Nee",6,288,1,11,"N",0,"Lose","N","Cheah Siu Hean",413,-125,0,0,1,1,0,2,"N",9,0,4,1,76
"Gabriel Cheang",6,381,8,12,"N",0,"Lose","N","J Jeyaseelan",465,-84,1,1,1,0,0,2,"N",5,41,5,2,140
"Lee Cheong Cheng",6,376,2,13,"N",0,"Lose","N","Hubert Wee",404,-28,1,1,1,1,0,3,"",NA,NA,7,1,84
"Jeremy Khoo",6,460,6,14,"N",1,"Win","N","Lim Li Wei",319,141,1,0,1,0,0,2,"N",8,31,4,1,67
"Tay Jing En",6,414,10,15,"N",1,"Win","Y","Yong Jian Rong",392,22,1,0,0,1,0,3,"N",9,7,5,2,142
"Leon Tan",6,370,4,16,"N",0,"Lose","N","Tony Sim",454,-84,0,0,0,1,1,1,"N",7,43,3,1,85
"Cheah Siu Hean",7,558,13,1,"N",1,"Win","N","Lee Cheong Cheng",336,222,1,1,1,1,0,2,"N",11,47,6,2,238
