Bingo,Score,Player,Round,Division
BRINGER,72,Shahrul Kamal,8,2
RENTERS,84,Khumraj Balal,9,2
STAINED,77,Shahrul Kamal,9,2
STAINED,73,Valliamah Thambaiah,9,2
AERIEST,71,Lee Chee Meng,9,2
PICTURED,64,Shukra Raj Gurung,9,2
SNIRTLE,67,Nicholas Lee,9,2
REWINED*,72,Shukra Raj Gurung,10,2
REGAUGE,85,S Shantikumar,10,2
LESIONED,84,S Shantikumar,10,2
THEMING,75,Shahrul Kamal,10,2
REALISMS,62,Shahrul Kamal,10,2
ORDINEES,77,Shahrul Kamal,10,2
DELEGATE,78,Lee Chee Meng,10,2
REWASHED,72,Shahrul Kamal,11,2
TENSING,61,Shahrul Kamal,11,2
TASTIEST,68,Lee Chee Meng,11,2
LOUVRED,81,S Shantikumar,11,2
UPRISING,65,Khumraj Balal,11,2
SWADDIE,108,Shahrul Kamal,12,2
MOILERS,83,Shahrul Kamal,12,2
COTTAGE,61,Shahrul Kamal,12,2
DUETING,78,Khumraj Balal,12,2
DETAINED,64,Lee Chee Meng,12,2
VEILING,80,Mohammed Ameen,12,2
OVERATED*,70,Valliamah Thambaiah,12,2
PANTIES,70,Nicholas Lee,12,2
INTENTS,72,S Shantikumar,12,2
SHORTIE,80,Valliamah Thambaiah,13,2
SEATING,74,Valliamah Thambaiah,13,2
COUPONS,78,S Shantikumar,13,2
FOOTIES,76,Khumraj Balal,13,2
EMAILER,70,Shahrul Kamal,13,2
OUTPUTS,70,Shahrul Kamal,13,2
POLARISE,65,Shukra Raj Gurung,13,2
TUNNELS,64,Shukra Raj Gurung,13,2
NECKERS,79,Mohammed Ameen,13,2
RADIATES,66,Mohammed Ameen,13,2
DOWNIES*,69,Shukra Raj Gurung,14,2
DORSING*,68,Valliamah Thambaiah,14,2
ROOTING,62,Lee Chee Meng,14,2
ENLISTS,73,Lee Chee Meng,14,2
SOARING,62,Lee Chee Meng,14,2
LITERATE,113,Mohammed Ameen,14,2
RANDIEST,70,Mohammed Ameen,15,2
KNEELER,64,Nicholas Lee,15,2
LATEENS,75,Shahrul Kamal,15,2
TRAINED,98,Shahrul Kamal,15,2
ATONIES,66,S Shantikumar,15,2
ONLIEST,65,Shukra Raj Gurung,16,2
GOONIER,87,Shahrul Kamal,16,2
