"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Nicholas Lee",8,396,6,3,"N",1,"Win","N","Shahrul Kamal",320,76,2,0,1,1,1,2,"N",3,31,7,1,93
"Mohammed Ameen",8,431,1,4,"N",1,"Win","Y","Lee Chee Meng",360,71,1,1,1,1,0,2,"N",3,8,6,2,159
"S Shanthikumar",8,431,7,5,"N",1,"Win","N","Valliammah Thambiaya",418,13,0,1,1,0,1,3,"",NA,NA,6,0,0
"Shahrul Kamal",8,320,3,6,"N",0,"Lose","Y","Nicholas Lee",396,-76,0,1,0,0,0,2,"Y",1,6,3,1,72
"Valliammah Thambiaya",8,418,5,7,"N",0,"Lose","Y","S Shanthikumar",431,-13,2,0,0,1,0,1,"",NA,NA,4,0,0
"Khumraj Thapa",8,354,2,8,"N",0,"Lose","N","Shukra Raj Gurung",356,-2,2,1,1,0,1,2,"N",2,19,7,0,0
"Lee Chee Meng",9,372,7,1,"N",0,"Lose","N","Valliammah Thambiaya",402,-30,1,0,1,1,0,2,"",NA,NA,5,1,71
"Shukra Raj Gurung",9,424,3,2,"N",1,"Win","N","Nicholas Lee",344,80,1,0,1,0,1,2,"N",9,10,5,1,64
"Nicholas Lee",9,344,2,3,"N",0,"Lose","Y","Shukra Raj Gurung",424,-80,1,1,0,1,0,2,"N",6,0,5,1,67
"Shahrul Kamal",9,401,8,6,"N",0,"Lose","Y","Khumraj Thapa",454,-53,1,1,1,0,0,2,"N",2,0,5,1,77
"Valliammah Thambiaya",9,402,1,7,"N",1,"Win","N","Lee Chee Meng",372,30,1,1,0,0,1,2,"",NA,NA,5,0,0
"Khumraj Thapa",9,454,6,8,"N",1,"Win","N","Shahrul Kamal",401,53,1,0,0,1,1,2,"N",6,1,5,1,84
"Lee Chee Meng",10,350,3,1,"N",0,"Lose","N","Nicholas Lee",387,-37,1,0,1,1,0,1,"Y",0,38,4,1,78
"Shukra Raj Gurung",10,422,5,2,"N",1,"Win","N","S Shanthikumar",389,33,1,1,0,1,0,2,"",NA,NA,5,1,72
"Nicholas Lee",10,387,1,3,"N",1,"Win","Y","Lee Chee Meng",350,37,1,1,0,0,1,3,"N",16,15,6,0,0
"Mohammed Ameen",10,337,8,4,"N",0,"Lose","N","Khumraj Thapa",386,-49,0,1,1,1,1,4,"N",8,40,8,0,0
"S Shanthikumar",10,389,2,5,"N",0,"Lose","N","Shukra Raj Gurung",422,-33,1,0,1,0,1,2,"",NA,NA,5,0,0
"Shahrul Kamal",10,532,7,6,"N",1,"Win","N","Valliammah Thambiaya",364,168,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,3,214
"Valliammah Thambiaya",10,364,6,7,"N",0,"Lose","Y","Shahrul Kamal",532,-168,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"Khumraj Thapa",10,386,4,8,"N",1,"Win","Y","Mohammed Ameen",337,49,2,0,0,0,0,0,"N",4,30,2,0,0
"Lee Chee Meng",11,376,5,1,"N",1,"Win","N","S Shanthikumar",352,24,1,0,0,1,1,2,"N",10,0,5,1,68
"Shukra Raj Gurung",11,399,8,2,"N",1,"Win","N","Khumraj Thapa",293,106,2,0,0,1,0,2,"N",4,41,5,0,0
"Nicholas Lee",11,365,7,3,"N",0,"Lose","Y","Valliammah Thambiaya",392,-27,1,0,1,0,0,1,"N",17,34,3,0,0
"Mohammed Ameen",11,313,6,4,"N",0,"Lose","N","Shahrul Kamal",432,-119,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"S Shanthikumar",11,352,1,5,"N",0,"Lose","N","Lee Chee Meng",376,-24,1,1,1,0,0,2,"N",5,0,5,0,0
"Shahrul Kamal",11,432,4,6,"N",1,"Win","Y","Mohammed Ameen",313,119,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,133
"Valliammah Thambiaya",11,392,3,7,"N",1,"Win","N","Nicholas Lee",365,27,1,1,0,1,1,3,"N",3,29,7,0,0
"Khumraj Thapa",11,293,2,8,"N",0,"Lose","N","Shukra Raj Gurung",399,-106,0,1,1,0,1,2,"N",8,30,5,1,65
"Lee Chee Meng",12,340,8,1,"N",0,"Lose","N","Khumraj Thapa",423,-83,1,0,0,0,1,2,"",NA,NA,4,1,64
"Shukra Raj Gurung",12,320,6,2,"N",0,"Lose","N","Shahrul Kamal",543,-223,0,0,1,0,1,2,"",NA,NA,4,0,0
"Nicholas Lee",12,424,5,3,"N",1,"Win","N","S Shanthikumar",288,136,1,0,1,1,1,3,"N",11,0,7,1,70
"Mohammed Ameen",12,418,7,4,"N",1,"Win","N","Valliammah Thambiaya",365,53,1,0,1,1,1,2,"",NA,NA,6,1,80
"S Shanthikumar",12,288,3,5,"N",0,"Lose","N","Nicholas Lee",424,-136,1,1,0,0,0,1,"N",6,0,3,0,0
